index,score,comment_text,class
19,0.5,"Angry trolls, misogynists and Racists"""", oh my. It doesn't take all of my 150 IQ to see the slant here.  it's the """"Diversity diode"""" at work yet again. """"We can say anything that we want because we are Diversity. You on the other hand must only  say what we allow you to say. From now on, winning arguments against any member of diversity will be considered offensive language.  facts, cogent, linear posts and Math are now verboten.
",1
23,0,"She would be a major improvement for city council and she has a long history of giving all citizens a voice. She is a problem solver that is what Portland needs .
",0
26,0,"Thanks, Christa!  Will you be adding any features to allow overall """"upvotes"""" of the article itself?  Also, notification settings for users?
",0
31,0.9125,"Yet call out all Muslims for the acts of a few will get you pilloried.   So why is it okay to smear an entire religion over these few idiots?  Or is this because it's okay to bash Christian sects?
",1
32,0,"I love the idea of upvoting entire articles, though this would have to be something that the Publisher could turn on and off. We do have a ton of other features currently in the works—following (and blocking!) other users, bookmarking articles during the review process, to read later (I find myself wanting to read the articles that other people are commenting on, as I'm reviewing their comments!), following conversations, and so much more. Thanks for your enthusiasm, Melinda, and your patience! It's a brand-new way to approach comments, and we're going to continue to improve it. We welcome all suggestions and feedback!
",0
34,0.830769231,"This bitch is nuts. Who would read a book by a woman.
",1
40,0,"I already see dozens of """"just commenting to vote on comments to be able to comment"""" type of comments.  This voting system is completely insane- you're assuming people have the extra time to *actually read* multiple non related comments?  I would love to see this system installed on oregonlive.com - they have enough online visitors and an established """"troll"""" base to really need this service.  With as little online activity as wweek has - it will discourage further growth here.
",0
52,0,"Affordable housing gets built pursuant to tax #3, immediately becomes less affordable pursuant to tax #2.  Brilliant!
",0
56,0,"Are you taxed as a resident of the state you were in when you bought the ticket, or as a resident of the state you are in when you claim the ticket?  If it's the latter, I suppose a theoretical lucky Oregonian will have to decide whether it's worth $90m in exchange for being stuck with the hated """"Californian"""" moniker.
",0
63,0,"Thanks so much for following our progress and helping to test the software, David! To answer your question: you'll have one over-arching Civil account where you can manage different profiles for different sites. Of course, you're welcome to use the same information across all sites! We decided that it'd be best to be able to present yourself differently to different communities, though. I might, for example, want to be portland_hipster15 here on Willamette Week, but prefer to be MrWhiskers on Cat Enthusiast Digest!
",0
65,0.166666667,"This is certainly not good journalism by any stretch of the imagination, but they are words, and if this is the metric by which Willamette Week chooses to publish a journalist, then by all means publish Brace Belden.
",0
68,0,"I think you left out one very important organization who help the mentally ill over 18. NAMI Multnomah. They help people with mental distress find within or without NAMI to find them the services that can be most beneficial to them.  I am a volunteer for NAMI Multnomah in their Connection program. It is a walk-in group to people 18 and up. No matter the diagnosis we welcome them and help them learn new coping skills and develop tools to further  help them learn to cope from week to week. We have groups all over Multnomah County. By going  to http://nami.multnomah.org/. You will with out much difficulty find the list of Connection Groups and their times and locations.
",0
72,0,"Ryan Bundy seems like a nice, responsible  human being who has been sold a bill of goods by his  intellectually domineering brother, who he idolizes. Ammon has a bunch of other similarly situated nutters following him as well.  Where? No one quite knows. And, unless you live in Burns no one cares. Personally, I am glad these bearded, cammo wearing, narrowly educated , nuisances....are there and not here. Traffic is bad enough.  No reason to make it worse with a Constitutional Pagent Play in the Federal Building in downtown PDX.  And,  repulsive as their  cammo costumes are ( all available at Cabela's and Andy and Bax) with their brandishing weapons it's a very immature male form of exhibitionism....cowboys and indians for middle aged men.
",0
73,0,"All the framed boxes must take up extra code and bandwidth usage to send all the extra code to our browsers..  Then there is all the """"2 more replies"""" buttons to click on - that is amazingly annoying - I don't want to have to click on half a dozen """"more replies"""" buttons to see what is being said.  And really, you have to vote on 3 other replies? What percentage of your users wait more than 1/2 second before randomly clicking on a response? Oh well, I digress.
",0
